头实体,尾实体,关系,例句
绩效考核,目标管理所,依据,仅仅以目标管理所确定的目标作为绩效考核的依据
绩效考核指标的提取,绩效目标,依据,而绩效考核指标的提取同样要依据绩效目标
绩效评价指标,绩效评价的目的,依据,绩效评价的目的是选择绩效评价指标的一个非常重要的依据。
绩效过程的指导,设定的绩效目标,依据,(2)绩效过程的指导；绩效过程的指导的依据是设定的绩效目标和达成的具体方法
缴费水平,个人的健康状况,依据,缴费水平通常取决于参保时年龄、性别以及个人的健康状况
群体绩效,带来的人力资源,依据,群体绩效的潜在水平很大程度上取决于成员个人给群体带来的人力资源。
考核指标的提取,工作分析的结果,依据,考核指标的提取依据工作分析的结果
考核者,考核者日常行为,依据,考核者总是依据自己对被考核者日常行为及工作表现的观察进行判断和评价。
职业,从事的工作性质同一性,依据,其划分职业的依据是以在业人口本人所从事的工作性质同一性进行职业分类。
职业动机,员工个人的工作,依据,虽然职业动机在很大程度上取决于员工个人的工作和生活经历
职业动机,生活经历,依据,虽然职业动机在很大程度上取决于员工个人的工作和生活经历
职业角色,劳动者社会经济地位,依据,为社会公众所认可；最早以职业角色为依据确定劳动者社会经济地位的
职位相对价值,职位特性,依据,报酬要素指的是能够为各种职位相对价值的比较提供客观依据的职位特性。
职位评价,企业的战略,依据,职位评价的依据是企业的战略和具体的工作职责
职位评价,具体的工作职责,依据,职位评价的依据是企业的战略和具体的工作职责
薪酬制度的特点,职务,依据,这种薪酬制度的特点是在依据职务确定薪酬的同时
薪酬的确定,岗位要求,依据,薪酬的确定同样是依据岗位要求而定的；实行一岗数薪制
薪酬设计,员工能力,依据,基于能力的基于薪酬设计是指组织依据员工能力的高低从而支付其报酬的方法设计。
薪酬设计的目标,团队任务,依据,薪酬设计的目标应以团队任务的完成效率和效果为依据来制定
薪酬调整,管理中绩效考核的目的,依据,但是国际人力资源管理中绩效考核的目的不仅仅是为员工薪酬调整和晋升提供依据
血亲家庭,不同的血统继嗣原则,依据,血亲家庭依据不同的血统继嗣原则而承续
评定者,工作绩效,依据,简单排序要求评定者依据工作绩效将员工从最好到最差排序。
跨文化管理,高素质的跨文化管理人员,依据,成功实现跨文化管理依赖于一批高素质的跨文化管理人员。
远距离转化,培训项目的设计,依据,受训者进行近距离转化还是远距离转化取决于培训项目的设计和实施是依据何种理论进行的。
雷斯特测验的评分,重要性排列部分,依据,雷斯特测验的评分是依据被测者在重要性排列部分的解答
顾客服务,人际关系质量,依据,(6)顾客服务；好的顾客服务也取决于人际关系质量
高级经理的奖金的发放,做出的工作业绩,依据,高级经理的奖金的发放原来主要依据他们在各自部门所做出的工作业绩。
